,pathname,filename,mfccfeatures,Class
0,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_1l_.wav,1_iO_0.0n_1l_.wav,"[-1.38782867e+02  1.15803154e+02 -2.60162601e+01  6.35855055e+00
 -2.90251827e+01  6.35257530e+00 -1.92676182e+01  1.55845432e+01
  3.25568295e+00 -1.03719015e+01 -3.22371101e+01  1.36718283e+01
 -1.33400755e+01 -1.19666071e+01 -5.64948225e+00  7.29041338e+00
 -7.46514606e+00 -2.41345525e+00 -1.21367884e+01  7.82787943e+00
  1.19698115e-01 -8.77331638e+00 -7.20284462e+00 -7.59900188e+00
 -1.48101501e+01 -4.83661699e+00 -5.16099501e+00 -5.58841848e+00
 -3.28635740e+00  5.85882330e+00  7.82357454e+00  1.90612531e+00
 -1.12699509e+01 -1.79347551e+00 -4.87387133e+00  2.60734010e+00
 -1.75821710e+00  2.67427891e-01 -2.96859503e-01  4.52799112e-01]",no leak present
1,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_1m_.wav,1_iO_0.0n_1m_.wav,"[ 9.72257767e+01  9.93895187e+01 -3.31805687e+01  1.63774738e+01
 -2.42493057e+01  5.44775438e+00 -1.37360115e+01  1.62047577e+01
 -3.01148868e+00 -3.07934070e+00 -2.31593609e+01  7.47624588e+00
 -1.20399694e+01 -5.76377821e+00 -6.19671869e+00  9.86735821e+00
 -8.46727657e+00 -6.54506862e-01 -8.67974281e+00  9.49237442e+00
 -3.63647151e+00 -8.82239491e-02 -8.51215172e+00 -2.22692657e+00
 -1.35032282e+01 -1.85798359e+00 -6.56105709e+00  7.56324887e-01
 -4.15377474e+00  6.65131617e+00  4.92254591e+00  3.81962371e+00
 -1.00143614e+01  6.32718325e-01 -5.32600069e+00  4.08143091e+00
 -7.44635224e-01  3.77509761e+00 -9.14980173e-01  7.51008034e-01]",no leak present
2,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_2l_.wav,1_iO_0.0n_2l_.wav,"[-184.12518     113.74863     -27.201147      5.942817    -31.211733
    4.432933    -24.889582     12.888773     -2.2061472    -6.5907283
  -27.67681      14.113058     -9.797527     -7.511515     -4.877865
   11.87711     -10.275695     -5.670845     -7.11633      14.628671
    1.1761037    -6.0543118    -7.742397     -8.733142    -13.035815
   -8.693011     -4.148231     -0.838314     -1.5483993     9.043782
   10.812713      0.5870635   -12.846392     -0.42573124   -4.8754864
    7.0761223    -3.7078638     0.6024871    -1.4652236    -3.6923354 ]",no leak present
3,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_2m_.wav,1_iO_0.0n_2m_.wav,"[ 3.59508286e+01  1.07450424e+02 -2.82182369e+01  1.04618359e+01
 -3.09946327e+01 -7.65763745e-02 -2.27485447e+01  1.27067060e+01
 -3.60328507e+00 -4.13746023e+00 -2.59991837e+01  1.30307884e+01
 -9.97805882e+00 -4.95674133e+00 -7.91562986e+00  1.02503281e+01
 -9.12133598e+00 -3.87249088e+00 -8.80415440e+00  1.36560478e+01
 -8.92477691e-01 -2.44226170e+00 -7.80126190e+00 -8.65742683e+00
 -1.63198929e+01 -5.21605635e+00 -5.86552620e+00  1.35467148e+00
 -3.01834702e+00  9.86612225e+00  9.22311497e+00  2.60225534e+00
 -1.31831894e+01 -6.48639739e-01 -5.43628883e+00  5.68596888e+00
 -2.37254739e+00  9.87263262e-01 -3.70792580e+00 -1.10788774e+00]",no leak present
4,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_3l_.wav,1_iO_0.0n_3l_.wav,"[-172.8723     126.33058    -28.074629     3.8797083  -30.784502
    8.590864   -24.155659     9.822323    -0.6326223   -7.8954277
  -31.667564    11.029665   -14.55358    -13.086968    -5.469815
    3.551672   -11.304915    -2.936101   -11.070417    12.685908
    1.3029544   -5.433029    -4.903759    -6.524357   -15.024221
   -5.911469    -3.7515635   -1.4952706   -3.3210385    7.072588
   11.272051     1.6703858  -11.885537    -1.8554034   -3.1408439
    5.4162784   -2.4238172   -0.479709    -0.441778     1.4864357]",no leak present
5,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_3m_.wav,1_iO_0.0n_3m_.wav,"[-2.4167183e+01  1.2311999e+02 -2.8792341e+01  2.4584663e+00
 -3.0208399e+01  8.7657022e+00 -2.4100590e+01  9.4512739e+00
 -1.0320313e+00 -8.2258902e+00 -3.2083939e+01  1.1815677e+01
 -1.5072855e+01 -1.4185375e+01 -4.9392986e+00  4.6699672e+00
 -1.1794076e+01 -3.5697222e+00 -1.2455290e+01  1.4078871e+01
  1.2276744e+00 -3.3521080e+00 -9.2770691e+00 -6.7461247e+00
 -1.3836103e+01 -3.8858578e+00 -5.4494815e+00 -2.2859986e+00
 -1.6546352e+00  6.9908981e+00  1.0186129e+01  2.2251840e-01
 -1.5465296e+01  1.4126694e-01 -3.1750448e+00  4.8285966e+00
 -2.7932615e+00 -5.0942558e-01  6.2787987e-02  2.4767981e-03]",no leak present
6,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_4l_.wav,1_iO_0.0n_4l_.wav,"[-190.18604     112.96717     -27.201431      8.473362    -31.277153
    3.3080873   -26.5231       11.678834     -7.7708764    -7.7279663
  -29.026108     12.561745    -12.887561    -12.686248     -5.095196
   10.120574    -10.671285     -3.287505     -8.318459     12.980604
   -1.1959784    -7.3084188    -7.457        -6.1461496   -11.15103
   -3.9488292    -4.2647705    -2.5370796    -4.585383      6.7636676
   11.38492       7.4980288    -8.434384      1.856093     -5.937204
    2.8265314    -6.4236784    -1.8416382    -0.38316768    0.9579012 ]",no leak present
7,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_4m_.wav,1_iO_0.0n_4m_.wav,"[ 41.552734   104.57992    -28.248547     9.493597   -29.3337
   1.1067752  -26.397642    10.22778     -5.723612    -4.7882195
 -26.577282    11.2974205  -13.522806    -8.859455    -8.538349
   9.134913    -8.955837    -4.1925497   -5.985711    16.211502
  -0.7928563   -7.6012115  -10.380294    -5.5556197   -8.366593
  -1.1022254   -5.3860674   -3.7830193   -6.558372     9.168775
   9.276667     7.973034    -9.3746195    3.3155308   -5.469234
   6.7131166   -7.421149    -0.948771    -0.5202676    0.45544338]",no leak present
8,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_1l_.wav,1_iO_1.0n_1l_.wav,"[-136.15646     115.85921     -26.278723      5.3077364   -29.131168
    6.8871303   -20.06672      15.093561      4.6320343    -8.580195
  -33.17889      12.641421    -12.286035    -12.052241     -6.0630593
    7.1971025    -5.2601337    -0.51504934  -12.082752      9.945863
    1.521153    -11.066784     -8.44303      -7.205782    -14.663998
   -4.730082     -4.425605     -4.8357325    -2.2703552     5.2713485
    7.307743      4.038139    -10.145218     -1.6098523    -5.436927
    3.0869112    -1.5585475    -0.5808981     0.60353464    2.2683024 ]",no leak present
9,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_1m_.wav,1_iO_1.0n_1m_.wav,"[ 99.576965    99.3039     -34.5617      16.087345   -24.604715
   5.2640905  -14.434885    15.6103735   -1.8575532   -1.495631
 -23.475016     6.377594   -11.417889    -5.3979216   -6.304706
   9.930299    -7.033621     0.95049167  -8.244928    10.779071
  -2.3944476   -1.52972    -10.31568     -2.2891557  -12.675253
  -1.6957141   -6.0337067    1.5929781   -3.537479     6.201773
   4.361188     5.6742916   -9.299378     0.193136    -5.513095
   3.7168415   -0.8350394    3.3451285    0.24245057   1.5049694 ]",no leak present
