,Pathname,Filename,MFCCfeatures,Foldername,Class
0,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_1l_.wav,1_iO_0.0n_1l_.wav,-6.6263933,hydr,no leak present under hydr environment
1,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_1m_.wav,1_iO_0.0n_1m_.wav,5.963159,hydr,no leak present under hydr environment
2,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_2l_.wav,1_iO_0.0n_2l_.wav,-8.575956,hydr,no leak present under hydr environment
3,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_2m_.wav,1_iO_0.0n_2m_.wav,2.1540313,hydr,no leak present under hydr environment
4,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_3l_.wav,1_iO_0.0n_3l_.wav,-8.93069,hydr,no leak present under hydr environment
5,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_3m_.wav,1_iO_0.0n_3m_.wav,-1.813353,hydr,no leak present under hydr environment
6,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_4l_.wav,1_iO_0.0n_4l_.wav,-10.028428,hydr,no leak present under hydr environment
7,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_0.0n_4m_.wav,1_iO_0.0n_4m_.wav,1.6240457,hydr,no leak present under hydr environment
8,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_1l_.wav,1_iO_1.0n_1l_.wav,-6.204367,hydr,no leak present under hydr environment
9,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_1m_.wav,1_iO_1.0n_1m_.wav,6.2525783,hydr,no leak present under hydr environment
10,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_2l_.wav,1_iO_1.0n_2l_.wav,-8.245503,hydr,no leak present under hydr environment
11,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_2m_.wav,1_iO_1.0n_2m_.wav,2.3172393,hydr,no leak present under hydr environment
12,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_3l_.wav,1_iO_1.0n_3l_.wav,-8.58876,hydr,no leak present under hydr environment
13,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_3m_.wav,1_iO_1.0n_3m_.wav,-1.4816264,hydr,no leak present under hydr environment
14,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_4l_.wav,1_iO_1.0n_4l_.wav,-9.67223,hydr,no leak present under hydr environment
15,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_1.0n_4m_.wav,1_iO_1.0n_4m_.wav,1.8989993,hydr,no leak present under hydr environment
16,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_1l_.wav,1_iO_2.0n_1l_.wav,-6.4583063,hydr,no leak present under hydr environment
17,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_1m_.wav,1_iO_2.0n_1m_.wav,6.2327013,hydr,no leak present under hydr environment
18,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_2l_.wav,1_iO_2.0n_2l_.wav,-8.437937,hydr,no leak present under hydr environment
19,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_2m_.wav,1_iO_2.0n_2m_.wav,2.3424606,hydr,no leak present under hydr environment
20,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_3l_.wav,1_iO_2.0n_3l_.wav,-8.812873,hydr,no leak present under hydr environment
21,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_3m_.wav,1_iO_2.0n_3m_.wav,-1.6492023,hydr,no leak present under hydr environment
22,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_4l_.wav,1_iO_2.0n_4l_.wav,-9.856121,hydr,no leak present under hydr environment
23,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_2.0n_4m_.wav,1_iO_2.0n_4m_.wav,1.8775482,hydr,no leak present under hydr environment
24,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_1l_.wav,1_iO_3.0n_1l_.wav,-6.302086,hydr,no leak present under hydr environment
25,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_1m_.wav,1_iO_3.0n_1m_.wav,6.250757,hydr,no leak present under hydr environment
26,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_2l_.wav,1_iO_3.0n_2l_.wav,-8.2321415,hydr,no leak present under hydr environment
27,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_2m_.wav,1_iO_3.0n_2m_.wav,2.5272424,hydr,no leak present under hydr environment
28,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_3l_.wav,1_iO_3.0n_3l_.wav,-8.658865,hydr,no leak present under hydr environment
29,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_3m_.wav,1_iO_3.0n_3m_.wav,-1.4835863,hydr,no leak present under hydr environment
30,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_4l_.wav,1_iO_3.0n_4l_.wav,-9.680066,hydr,no leak present under hydr environment
31,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.0n_4m_.wav,1_iO_3.0n_4m_.wav,2.1125739,hydr,no leak present under hydr environment
32,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_1l_.wav,1_iO_3.5n_1l_.wav,-6.3790793,hydr,no leak present under hydr environment
33,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_1m_.wav,1_iO_3.5n_1m_.wav,6.164945,hydr,no leak present under hydr environment
34,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_2l_.wav,1_iO_3.5n_2l_.wav,-8.363594,hydr,no leak present under hydr environment
35,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_2m_.wav,1_iO_3.5n_2m_.wav,2.2780566,hydr,no leak present under hydr environment
36,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_3l_.wav,1_iO_3.5n_3l_.wav,-8.748075,hydr,no leak present under hydr environment
37,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_3m_.wav,1_iO_3.5n_3m_.wav,-1.5908856,hydr,no leak present under hydr environment
38,C:\Users\Chandhinii.B\Desktop\Electrical engineering course\Winter semester 2022\Ferdinand steinbeis institute\AI\Dataset\tubeleak\hydr\1\1_iO_3.5n_4l_.wav,1_iO_3.5n_4l_.wav,-9.819411,hydr,no leak present under hydr environment
