,True_Gender_Label,Model1_Predictions,Model2_Predictions,Model3_Predictions,Model4_Predictions
0,1,1,1,1,1
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,1,1,1
4,0,0,1,0,0
5,1,1,1,1,1
6,0,0,0,0,0
7,1,1,1,1,1
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,1,1,1,1,0
15,0,0,0,0,0
16,1,1,1,1,1
17,0,0,0,0,0
18,1,1,1,1,1
19,0,0,0,0,0
20,1,1,1,1,1
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,1,1,1,1,1
25,1,1,1,1,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,1,1,1,1,1
30,0,0,0,0,0
31,1,1,1,1,1
32,1,1,1,1,1
33,0,0,0,0,0
34,1,1,1,1,1
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,1,1,1,1,1
40,1,1,1,1,1
41,1,1,1,1,1
42,0,0,0,0,0
43,1,0,0,1,1
44,1,0,1,1,1
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,1,1,1,1,1
50,0,0,0,0,0
51,1,1,1,1,1
52,0,0,0,0,0
53,0,0,0,0,0
54,1,1,1,0,1
55,1,1,1,1,0
56,1,1,1,1,1
57,1,1,1,1,1
58,0,0,1,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,1,1,1,1,1
62,0,0,0,0,1
63,1,1,1,1,1
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,0
67,1,1,1,1,1
68,1,1,1,1,1
69,1,1,1,1,1
70,0,0,0,0,0
71,1,1,1,1,1
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,0,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,0,0,0,0,0
82,1,1,0,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,1,1,1,1,1
